Obs;Make;Model;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Year;Milage;Regnr
265;Mercedes-Benz;CLK500 coupe 2dr (convertible);8;302;17;22;3585;107;1981;36751;AH12661
266;Mercedes-Benz;E320 4dr;6;221;19;27;3635;112;1982;48999;CA22672
267;Mercedes-Benz;E500 4dr;8;302;16;20;3815;112;1983;61249;AC32680
268;Mercedes-Benz;S430 4dr;8;275;18;26;4160;122;1984;73501;CH42691
269;Mercedes-Benz;S500 4dr;8;302;16;24;4390;122;1985;85755;AA02702
270;Mercedes-Benz;SL500 convertible 2dr;8;302;16;23;4065;101;1986;98011;CC12710
271;Mercedes-Benz;SL55 AMG 2dr;8;493;14;21;4235;101;1987;19;AH22721
272;Mercedes-Benz;SL600 convertible 2dr;12;493;13;19;4429;101;1988;12270;CA32732
273;Mercedes-Benz;SLK230 convertible 2dr;4;192;21;29;3055;95;1989;24523;AC42740
274;Mercedes-Benz;SLK32 AMG 2dr;6;349;17;22;3220;95;1990;36778;CH02751
275;Mercedes-Benz;C240;6;168;19;25;3470;107;1991;49035;AA12762
276;Mercedes-Benz;E320;6;221;19;27;3966;112;1992;61294;CC22770
277;Mercedes-Benz;E500;8;302;16;24;4230;112;1993;73555;AH32781
278;Mercury;Mountaineer;6;210;16;21;4374;114;1994;85818;CA42792
279;Mercury;Sable GS 4dr;6;155;20;27;3308;109;1995;98083;AC02800
280;Mercury;Grand Marquis GS 4dr;8;224;17;25;4052;115;1996;19;CH12811
281;Mercury;Grand Marquis LS Premium 4dr;8;224;17;25;4052;115;1997;12279;AA22822
282;Mercury;Sable LS Premium 4dr;6;201;19;26;3315;109;1998;24541;CC32830
283;Mercury;Grand Marquis LS Ultimate 4dr;8;224;17;25;4052;115;1999;36805;AH42841
284;Mercury;Marauder 4dr;8;302;17;23;4195;115;2000;49071;CA02852
285;Mercury;Monterey Luxury;6;201;16;23;4340;121;2001;61339;AC12860
286;Mercury;Sable GS;6;155;19;26;3488;109;2002;73609;CH22871
287;Mitsubishi;Endeavor XLS;6;215;17;21;4134;109;2003;85881;AA32882
288;Mitsubishi;Montero XLS;6;215;15;19;4718;110;2004;98155;CC42890
289;Mitsubishi;Outlander LS;4;160;21;27;3240;103;2005;19;AH02901
290;Mitsubishi;Lancer ES 4dr;4;120;25;31;2656;102;2006;12288;CA12912
291;Mitsubishi;Lancer LS 4dr;4;120;25;31;2795;102;2007;24559;AC22920
292;Mitsubishi;Galant ES 2.4L 4dr;4;160;23;30;3351;108;2008;36832;CH32931
293;Mitsubishi;Lancer OZ Rally 4dr auto;4;120;25;31;2744;102;2009;49107;AA42942
294;Mitsubishi;Diamante LS 4dr;6;205;18;25;3549;107;2010;61384;CC02950
295;Mitsubishi;Galant GTS 4dr;6;230;18;26;3649;108;2011;73663;AH12961
296;Mitsubishi;Eclipse GTS 2dr;6;210;21;28;3241;101;2012;85944;CA22972
297;Mitsubishi;Eclipse Spyder GT convertible 2dr;6;210;21;28;3296;101;2013;98227;AC32980
298;Mitsubishi;Lancer Evolution 4dr;4;271;18;26;3263;103;2014;19;CH42991
299;Mitsubishi;Lancer Sportback LS;4;160;25;31;3020;102;2015;12297;AA03002
300;Nissan;Pathfinder Armada SE;8;305;13;19;5013;123;2016;24577;CC13010
301;Nissan;Pathfinder SE;6;240;16;21;3871;106;1977;36859;AH23021
302;Nissan;Xterra XE V6;6;180;17;20;3760;104;1978;49143;CA33032
303;Nissan;Sentra 1.8 4dr;4;126;28;35;2513;100;1979;61429;AC43040
304;Nissan;Sentra 1.8 S 4dr;4;126;28;35;2581;100;1980;73717;CH03051
305;Nissan;Altima S 4dr;4;175;21;26;3039;110;1981;86007;AA13062
306;Nissan;Sentra SE-R 4dr;4;165;23;28;2761;100;1982;98299;CC23070
307;Nissan;Altima SE 4dr;6;245;21;26;3197;110;1983;19;AH33081
308;Nissan;Maxima SE 4dr;6;265;20;28;3473;111;1984;12306;CA43092
309;Nissan;Maxima SL 4dr;6;265;20;28;3476;111;1985;24595;AC03100
310;Nissan;Quest S;6;240;19;26;4012;124;1986;36886;CH13111
311;Nissan;Quest SE;6;240;18;25;4175;124;1987;49179;AA23122
312;Nissan;350Z coupe 2dr;6;287;20;26;3188;104;1988;61474;CC33130
313;Nissan;350Z Enthusiast convertible 2dr;6;287;20;26;3428;104;1989;73771;AH43141
314;Nissan;Frontier King Cab XE V6;6;180;17;20;3932;116;1990;86070;CA03152
315;Nissan;Titan King Cab XE;8;305;14;18;5287;140;1991;98371;AC13160
316;Nissan;Murano SL;6;245;20;25;3801;111;1992;19;CH23171
317;Oldsmobile;Alero GX 2dr;4;140;24;32;2946;107;1993;12315;AA33182
318;Oldsmobile;Alero GLS 2dr;6;170;20;29;3085;107;1994;24613;CC43190
319;Oldsmobile;Silhouette GL;6;185;19;26;3948;120;1995;36913;AH03201
320;Pontiac;Aztekt;6;185;19;26;3779;108;1996;49215;CA13212
321;Pontiac;Sunfire 1SA 2dr;4;140;24;33;2771;104;1997;61519;AC23220
322;Pontiac;Grand Am GT 2dr;6;175;20;29;3118;107;1998;73825;CH33231
323;Pontiac;Grand Prix GT1 4dr;6;200;20;30;3477;111;1999;86133;AA43242
324;Pontiac;Sunfire 1SC 2dr;4;140;24;33;2771;104;2000;98443;CC03250
325;Pontiac;Grand Prix GT2 4dr;6;200;20;30;3484;111;2001;19;AH13261
326;Pontiac;Bonneville GXP 4dr;8;275;17;20;3790;112;2002;12324;CA23272
327;Pontiac;Montana;6;185;19;26;3803;112;2003;24631;AC33280
328;Pontiac;Montana EWB;6;185;18;24;4431;121;2004;36940;CH43291
